epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1239.52,0.36576,0.23777,0.79086,0.89652,0.80886,0.86595,0.62647,0.97464,0.73705,0.97279,0.000865839,0.000865839,0.000865839
86,1253.71,0.36226,0.23527,0.78331,0.83663,0.81288,0.81838,0.58126,1.02947,0.73937,1.02141,0.000862783,0.000862783,0.000862783
87,1269.07,0.35933,0.23506,0.78977,0.89737,0.82723,0.86556,0.63354,0.98446,0.71726,0.98571,0.000859699,0.000859699,0.000859699
88,1283.14,0.35752,0.23479,0.78716,0.85428,0.81869,0.83993,0.61986,0.97877,0.77574,0.98964,0.000856585,0.000856585,0.000856585
89,1296.53,0.3633,0.23544,0.7952,0.90702,0.83131,0.85661,0.60543,0.97356,0.7299,0.99641,0.000853443,0.000853443,0.000853443
90,1311.38,0.36732,0.23746,0.78983,0.87491,0.81233,0.83451,0.61259,0.96813,0.73511,0.97278,0.000850274,0.000850274,0.000850274
91,1326.79,0.34811,0.22714,0.78568,0.85633,0.83448,0.84494,0.61017,0.96152,0.73198,0.96642,0.000847076,0.000847076,0.000847076
92,1340.24,0.35587,0.2346,0.78722,0.8356,0.84597,0.8633,0.62763,0.95269,0.72119,0.97601,0.000843851,0.000843851,0.000843851
93,1354.04,0.35697,0.2361,0.78597,0.88326,0.8545,0.87787,0.64098,0.96253,0.6996,0.99445,0.000840598,0.000840598,0.000840598
94,1368.46,0.35678,0.23028,0.78661,0.88041,0.83131,0.86095,0.64142,0.94534,0.73157,0.98266,0.000837319,0.000837319,0.000837319
95,1383.19,0.34044,0.22329,0.78689,0.85916,0.82836,0.84686,0.61912,0.94376,0.77043,0.97769,0.000834012,0.000834012,0.000834012
96,1396.42,0.3291,0.21629,0.788,0.85345,0.81025,0.84863,0.62886,0.95119,0.73155,0.98533,0.00083068,0.00083068,0.00083068
97,1409.94,0.32464,0.21528,0.78488,0.85448,0.84095,0.85936,0.63118,0.93825,0.74153,0.97087,0.000827321,0.000827321,0.000827321
98,1424.28,0.32182,0.2169,0.78267,0.87876,0.83195,0.86439,0.63717,0.92858,0.76214,0.97324,0.000823936,0.000823936,0.000823936
99,1439.45,0.33287,0.21825,0.7845,0.85929,0.81223,0.85443,0.63815,0.93603,0.71953,0.95758,0.000820525,0.000820525,0.000820525
100,1452.23,0.32961,0.22081,0.78199,0.89868,0.81993,0.86838,0.6425,0.95162,0.70118,0.99901,0.000817089,0.000817089,0.000817089
101,1466.44,0.33324,0.21812,0.78465,0.83277,0.79966,0.81831,0.60764,0.95678,0.68942,0.98738,0.000813627,0.000813627,0.000813627
102,1481.45,0.34339,0.22354,0.78777,0.87859,0.83028,0.85545,0.63485,0.95186,0.73422,0.9888,0.000810141,0.000810141,0.000810141
103,1495.98,0.34623,0.21928,0.78595,0.85945,0.84215,0.86859,0.65863,0.94684,0.69548,0.98146,0.000806631,0.000806631,0.000806631
104,1508.93,0.33646,0.21822,0.78524,0.88993,0.79364,0.85221,0.64653,0.9237,0.69651,0.95674,0.000803096,0.000803096,0.000803096
105,1523.39,0.3173,0.20678,0.78596,0.89243,0.8269,0.8603,0.64833,0.93533,0.68753,0.99641,0.000799536,0.000799536,0.000799536
106,1538.62,0.3167,0.20782,0.78158,0.87872,0.80626,0.85645,0.65201,0.93831,0.72021,0.99956,0.000795954,0.000795954,0.000795954
107,1551.86,0.30808,0.2058,0.78013,0.87444,0.8169,0.86734,0.6657,0.93425,0.7153,0.97673,0.000792347,0.000792347,0.000792347
108,1564.87,0.32255,0.21075,0.78532,0.89361,0.83687,0.87187,0.66123,0.94465,0.6781,0.98035,0.000788718,0.000788718,0.000788718
109,1579.8,0.29633,0.19961,0.78144,0.8906,0.83791,0.87543,0.65376,0.92067,0.70599,0.96211,0.000785066,0.000785066,0.000785066
110,1595.02,0.30871,0.2053,0.78016,0.88686,0.82698,0.86966,0.65512,0.93408,0.68639,0.96806,0.000781391,0.000781391,0.000781391
111,1608.42,0.30642,0.20453,0.78103,0.8796,0.83511,0.8745,0.65538,0.9366,0.71505,0.96691,0.000777694,0.000777694,0.000777694
112,1622.27,0.31724,0.21038,0.78043,0.88984,0.83006,0.87698,0.64932,0.94277,0.71075,0.98107,0.000773975,0.000773975,0.000773975
113,1637.62,0.31284,0.20561,0.77943,0.89487,0.83281,0.87099,0.64527,0.91079,0.73308,0.9711,0.000770234,0.000770234,0.000770234
114,1652.81,0.30822,0.2087,0.78171,0.89049,0.82673,0.87102,0.64736,0.91967,0.7101,0.98051,0.000766472,0.000766472,0.000766472
115,1665.51,0.30611,0.2025,0.78187,0.88185,0.83596,0.86716,0.65297,0.91479,0.72715,0.98821,0.000762689,0.000762689,0.000762689
116,1679.41,0.29773,0.19489,0.782,0.88124,0.8365,0.87036,0.6542,0.93998,0.74884,0.98162,0.000758885,0.000758885,0.000758885
117,1694.7,0.30325,0.19852,0.78321,0.88154,0.83788,0.86581,0.63281,0.9265,0.71774,0.98061,0.000755061,0.000755061,0.000755061
118,1709.37,0.30134,0.20006,0.7848,0.88621,0.83384,0.86938,0.64908,0.89219,0.70526,0.98131,0.000751216,0.000751216,0.000751216
119,1722.18,0.30519,0.20274,0.77975,0.87779,0.8323,0.83904,0.6165,0.92984,0.72824,0.99029,0.000747352,0.000747352,0.000747352
120,1736.65,0.30426,0.20014,0.78357,0.84675,0.81798,0.836,0.63491,0.92825,0.74156,0.97916,0.000743468,0.000743468,0.000743468
121,1750.95,0.30406,0.20088,0.78078,0.81517,0.80286,0.84268,0.6425,0.92663,0.74005,0.98667,0.000739565,0.000739565,0.000739565
122,1765.89,0.30626,0.20348,0.78084,0.82462,0.79748,0.8429,0.64508,0.95599,0.75829,0.99173,0.000735643,0.000735643,0.000735643
123,1778.51,0.30603,0.20277,0.78214,0.88453,0.82105,0.85227,0.64021,0.90458,0.69325,0.99008,0.000731702,0.000731702,0.000731702
